iter	MAE	RMSE
0	0.04680602337	0.06680914466
1	0.0454289044	0.06509916702
2	0.04426604406	0.06359809889
3	0.0430939974	0.0620808023
4	0.04195134956	0.06069252395
5	0.04091260779	0.05939719412
6	0.03992390913	0.05820910054
7	0.03899862614	0.05712590654
8	0.03810491844	0.05604457469
9	0.0373184361	0.05508750518
10	0.03656141046	0.05418272901
11	0.03592155634	0.05341565948
12	0.03523094428	0.05260399658
13	0.03458784584	0.0518676267
14	0.0340397003	0.05121158892
15	0.03346652766	0.05055951637
16	0.03296535896	0.0500120508
17	0.03257144587	0.04954193511
18	0.03208943158	0.0490019803
19	0.03165492769	0.04851718983
20	0.03121167779	0.04806962857
21	0.03079584356	0.04764568655
22	0.03044634034	0.04730294463
23	0.03010740942	0.04693015467
24	0.02978620639	0.04661347934
25	0.02943928144	0.04631203409
26	0.02912296035	0.04603706052
27	0.02885513099	0.04580409635
28	0.02855181358	0.04553793832
29	0.02829518235	0.0453255746
30	0.02811745553	0.04516461036
31	0.02786623463	0.04496958799
32	0.0276801869	0.04479100199
33	0.02747349261	0.04463661134
34	0.02726188237	0.04449639326
35	0.02707351712	0.04435842998
36	0.02689222466	0.04424224942
37	0.02669350642	0.04410170308
38	0.02650877374	0.04396598913
39	0.02632571265	0.04384711994
40	0.02616703248	0.04375081874
41	0.02600712802	0.04363945817
42	0.02583783535	0.04353524517
43	0.02569716679	0.04345899156
44	0.02557489807	0.04337903055
45	0.02543666548	0.04328121282
46	0.02531192069	0.04320648278
47	0.02519966372	0.04313003368
48	0.02510860966	0.04307335964
49	0.02500223682	0.04301925399
50	0.02490937407	0.04296424932
51	0.02481838135	0.04291994227
52	0.02473988863	0.04285540514
53	0.02465992568	0.04281401678
54	0.02457674659	0.04276389719
55	0.02448467078	0.04270780908
56	0.02441316801	0.04266154353
57	0.02434867276	0.04262787747
58	0.02425858738	0.04258752961
59	0.02418238198	0.04254692088
60	0.02410569841	0.04251379968
61	0.02403524455	0.04247732256
62	0.02396436208	0.04244250804
63	0.02391941175	0.04240551991
64	0.02386344247	0.04236639947
65	0.02380192494	0.0423453878
66	0.02375245225	0.04229810229
67	0.02370203841	0.04227105189
68	0.02364950152	0.04224697155
69	0.02360874467	0.04223114249
70	0.0235629464	0.04220358583
71	0.02351176376	0.04218258867
72	0.0234763554	0.04216097738
73	0.02343842117	0.04212995777
74	0.023401364	0.04211432609
75	0.02335904995	0.042091284
76	0.02332893642	0.04206678591
77	0.02328866268	0.04203955765
78	0.02324805204	0.04201667472
79	0.02321894339	0.04199484929
80	0.0231890106	0.04198049052
81	0.02315795936	0.04196528201
82	0.02312132371	0.04193543962
83	0.02309103749	0.04191128758
84	0.02305671412	0.04189297656
85	0.02301689573	0.04185990064
86	0.022986544	0.04184551527
87	0.02295873769	0.04183376071
88	0.02294411585	0.04181709872
