iter	MAE	RMSE
89	0.02290681793	0.04178736967
90	0.02288649761	0.04177551212
91	0.02286416369	0.04176960783
92	0.02283872003	0.04175862414
93	0.02281271021	0.04174573215
94	0.02279722255	0.04174102922
95	0.02277911186	0.04170962585
96	0.02276443922	0.04170666416
97	0.02274441593	0.04168106666
98	0.02272405537	0.0416637366
99	0.02269918018	0.04165383901
100	0.02268507106	0.04164007257
101	0.02267503902	0.04163077672
102	0.02265811658	0.04161124076
103	0.02264632697	0.0416086694
104	0.02261920135	0.04158466197
105	0.02260798413	0.04157022816
106	0.02259676328	0.04155679567
107	0.02258965884	0.04154571694
108	0.02257516111	0.04153692275
109	0.02256543179	0.04151953717
110	0.0225504529	0.04150177434
111	0.02253769849	0.04147906564
112	0.02252063099	0.0414734353
113	0.02251186754	0.04144972827
114	0.02249948827	0.04143157537
115	0.0224949594	0.04142641555
116	0.02248008948	0.04142029754
117	0.02246920025	0.04139969392
118	0.02245654963	0.04137628293
119	0.02244608698	0.04135765802
120	0.02243624594	0.04135370134
121	0.0224237673	0.04133404024
122	0.02241255856	0.04131967416
123	0.02239644282	0.04129593949
124	0.02238957612	0.04128205137
125	0.02238107825	0.04127342272
126	0.02237251405	0.04126305317
127	0.0223586237	0.04124379087
128	0.02235044769	0.04123373911
129	0.02234656423	0.04122941809
130	0.02232981775	0.04121103218
131	0.02232585577	0.04120575466
132	0.02231819211	0.04119152721
133	0.02230099617	0.04117218337
134	0.02228176597	0.04114615011
135	0.02227602805	0.04113649126
136	0.02226826757	0.0411305316
137	0.02225930889	0.04112061309
138	0.02223767558	0.04108890015
139	0.02223193664	0.04107533946
140	0.02222217954	0.04106872
141	0.02221384419	0.04105623377
142	0.02220686518	0.04104984798
143	0.02219462296	0.04103376386
144	0.0221870737	0.04101545435
145	0.02217376192	0.04099376145
146	0.02216228909	0.0409748473
147	0.02215944614	0.04095961722
148	0.0221551669	0.04095325232
149	0.02214671553	0.04094277151
150	0.02214138549	0.04093634597
151	0.02212707467	0.04091736215
152	0.02211894223	0.04091253744
153	0.02211860937	0.04091170824
154	0.02211242128	0.04090473651
155	0.02210457563	0.04088427258
156	0.02209606458	0.04087876054
157	0.02208436288	0.04085366126
158	0.02207200387	0.04083865837
159	0.02206773884	0.04082263705
160	0.02205933686	0.04079632776
161	0.02205147309	0.04078284022
162	0.0220412928	0.04076576668
163	0.02203425705	0.04075366366
164	0.02203019063	0.04074343627
165	0.0220224405	0.04073663396
166	0.02201056308	0.04072591754
167	0.02200622124	0.04072161477
168	0.02200010156	0.04070666083
169	0.02199615872	0.04069670171
170	0.02199024446	0.04068136911
171	0.0219864171	0.04067115849
172	0.02197441424	0.04065066651
173	0.02195923391	0.04062297951
174	0.02194983716	0.04060769785
175	0.02194519453	0.0405987849
176	0.02194381928	0.04059533164
177	0.02193983079	0.04058802888
178	0.02192961892	0.04057814664
179	0.02192651704	0.04057156768
180	0.0219237676	0.04056599931
181	0.0219163956	0.04054907042
182	0.02189972116	0.04051966046
183	0.02189378914	0.04050491487
184	0.02189179846	0.04049914161
185	0.0218864221	0.04048894517
186	0.02188389649	0.04048472903
187	0.02186539969	0.04045502928
188	0.0218620614	0.04044808571
189	0.02185972754	0.04044495445
190	0.02185774961	0.04044143563
191	0.02184911113	0.04043128797
192	0.02184777725	0.04042853526
193	0.02184285016	0.0404107566
194	0.02183898226	0.04040153274
195	0.02183754419	0.04039876796
196	0.02183592813	0.04039497815
197	0.02183451016	0.04039170134
198	0.02182336637	0.04037895489
199	0.02181251458	0.04035870482
200	0.02180392284	0.04034139598
201	0.02180165096	0.040335398
202	0.02180058879	0.04033309452
203	0.02179957378	0.04032975535
204	0.0217938263	0.04031660642
205	0.02179248513	0.04031342883
206	0.02178844523	0.04030591912
207	0.02178644296	0.0403025263
208	0.02177858069	0.04029001733
209	0.02177293714	0.04027770977
210	0.02175751512	0.04025220863
211	0.02174960153	0.04023661715
212	0.02174130313	0.04022492353
213	0.0217308757	0.0401993624
214	0.02172104237	0.04019074501
215	0.02171576448	0.04018320706
216	0.02171231184	0.04017816628
217	0.02170850033	0.04017165251
218	0.02170637416	0.04016742142
219	0.02170311732	0.04016104733
220	0.02170183285	0.04015850194
221	0.02169791047	0.04015211636
222	0.02169342254	0.04014664006
223	0.02168621315	0.0401329943
224	0.02168092786	0.04012481149
225	0.02167404025	0.04010301355
226	0.02166919209	0.04009670255
227	0.0216667078	0.04009307356
228	0.02166052092	0.04008180673
229	0.02165834096	0.04007836896
230	0.02165053415	0.04006517424
231	0.02164341445	0.0400538968
232	0.0216380199	0.04004538551
